n_qubits,k,variance_measured,theoretical_bound
4,2,0.06284959416285985,0.0625
6,2,0.06113052953155696,0.0625
8,2,0.06605338231039488,0.0625
10,2,0.05742392819686674,0.0625
12,2,0.06336963488821218,0.0625
14,2,0.06441474999376921,0.0625
16,2,0.06375632093724377,0.0625
18,2,0.06023522333158303,0.0625
20,2,0.06428489351905108,0.0625
22,2,0.06472912660538291,0.0625
24,2,0.06269967925966803,0.0625
26,2,0.06077604512908965,0.0625
28,2,0.05905515817892816,0.0625
30,2,0.06883431500114996,0.0625
32,2,0.06295561662878126,0.0625
34,2,0.058799979603670616,0.0625
36,2,0.057010311155034375,0.0625
38,2,0.06279071321806323,0.0625
40,2,0.0699143492723957,0.0625
42,2,0.06274479810276962,0.0625
44,2,0.06272245810001491,0.0625
46,2,0.06591341606548683,0.0625
48,2,0.06159637991694257,0.0625
50,2,0.0626092224033198,0.0625
4,4,0.004352991434633426,0.00390625
6,4,0.0038566445534163646,0.00390625
8,4,0.004219065257071963,0.00390625
10,4,0.003660934274147208,0.00390625
12,4,0.0037936375679187193,0.00390625
14,4,0.004087279637639241,0.00390625
16,4,0.004007500647388334,0.00390625
18,4,0.0037693083983637767,0.00390625
20,4,0.0037215100553564806,0.00390625
22,4,0.003849604140699541,0.00390625
24,4,0.003995908056802996,0.00390625
26,4,0.004248323149724329,0.00390625
28,4,0.00432081318080951,0.00390625
30,4,0.0038284449402010046,0.00390625
32,4,0.004200007526981723,0.00390625
34,4,0.003924931480055549,0.00390625
36,4,0.003913647595383298,0.00390625
38,4,0.00391365000450726,0.00390625
40,4,0.0038981904302918357,0.00390625
42,4,0.003971839502091404,0.00390625
44,4,0.0036016561794169283,0.00390625
46,4,0.003995907759653887,0.00390625
48,4,0.004037721553681082,0.00390625
50,4,0.003830457872846571,0.00390625
4,6,0.0002620755396235957,0.000244140625
6,6,0.00022660884122501575,0.000244140625
8,6,0.0002402064741193944,0.000244140625
10,6,0.0002446479874615224,0.000244140625
12,6,0.0002143817139346775,0.000244140625
14,6,0.0002691123560283707,0.000244140625
16,6,0.0002508336418143436,0.000244140625
18,6,0.0002366434783789526,0.000244140625
20,6,0.00023249177133698786,0.000244140625
22,6,0.00023648463551886032,0.000244140625
24,6,0.0002483934212673567,0.000244140625
26,6,0.00027548069948653086,0.000244140625
28,6,0.00024063656995807362,0.000244140625
30,6,0.00024023132312323353,0.000244140625
32,6,0.00024358348299659353,0.000244140625
34,6,0.00024243133322149498,0.000244140625
36,6,0.0002576800440887241,0.000244140625
38,6,0.00022619311669585802,0.000244140625
40,6,0.0002235855614673953,0.000244140625
42,6,0.00023992060440084832,0.000244140625
44,6,0.0002539378468542738,0.000244140625
46,6,0.00023660459266997217,0.000244140625
48,6,0.0002626404147123241,0.000244140625
50,6,0.00026346975223129007,0.000244140625
